dataset,step_type,tau_m,tau_c,fix_number,entailment_predictions,valid_items,skipped_false,exceptions,seen_items,available_items,exhausted,accuracy,expected,elapsed_sec,delta
anli,none,0.55,90,250,124,250,90,1,341,1000,False,0.496,0.53,462.565,-0.03400000000000003
anli,original,0.55,90,250,130,250,79,2,331,1000,False,0.52,0.558,393.894,-0.038000000000000034
anli,one,0.55,90,250,156,250,43,1,294,1000,False,0.624,0.645,266.531,-0.02100000000000002
anli,two,0.55,90,250,165,250,36,1,287,1000,False,0.66,0.673,290.671,-0.013000000000000012
anli,three,0.55,90,250,179,250,37,3,290,1000,False,0.716,0.733,322.823,-0.017000000000000015
arct,none,0.65,90,250,69,250,13,13,276,289,False,0.276,0.293,9.369,-0.01699999999999996
arct,original,0.65,90,250,73,250,9,13,272,289,False,0.292,0.303,45.044,-0.01100000000000001
arct,one,0.65,90,250,120,250,9,16,275,289,False,0.48,0.478,52.944,0.0020000000000000018
arct,two,0.65,90,250,124,250,6,14,270,289,False,0.496,0.518,44.748,-0.02200000000000002
arct,three,0.65,90,250,140,250,9,15,274,289,False,0.56,0.563,54.606,-0.0029999999999998916
